study_id,title,authors,year,venue,publication_type,doi,official_url,source_file,selection_basis,reconstruction_status,metadata_status
C019,Exploring Communication Strategies for Collaborative LLM Agents in Mathematical Problem-Solving,"Zhang, Liang; Zhai, Xiaoming; Lin, Jionghao; Kleiman, Jennifer; Zapata-Rivera, Diego; Forsyth, Carol; Jiang, Yang; Hu, Xiangen; Graesser, Arthur C.",2025,"Poster papers and late breaking results, workshops and tutorials, practitioners, industry and policy track, doctoral consortium, blue sky and wideAIED papers presented at the 26th International Conference on Artificial Intelligence in Education, AIED 2025, July 22, 2025  -  July 26, 2025",conference,10.1007/978-3-031-99264-3_32,https://doi.org/10.1007/978-3-031-99264-3_32,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C020,Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,"Mushtaq, Abdullah; Naeem, Rafay; Ghaznavi, Ibrahim; Taj, Imran; Hashmi, Imran; Qadir, Junaid",2025,"16th IEEE Global Engineering Education Conference, EDUCON 2025, April 22, 2025  -  April 25, 2025",conference,10.1109/EDUCON62633.2025.11016653,https://doi.org/10.1109/EDUCON62633.2025.11016653,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C021,OSC: Cognitive Orchestration through Dynamic Knowledge Alignment in Multi-Agent LLM Collaboration,"Zhang, Jusheng; Fan, Yijia; Cai, Kaitong; Tang, Jinzhou; Sun, Xiaofei; Wang, Keze",2025,"30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025, November 4, 2025  -  November 9, 2025",conference,10.18653/v1/2025.findings-emnlp.335,https://doi.org/10.18653/v1/2025.findings-emnlp.335,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C022,Personality-Aware Multiagent Large Language Models for Strategic Interactions in Polymatrix Games,"Hadfi, Rafik; Huang, Yin Jou",2025,"13th International Conference on Human-Agent Interaction, HAI 2025, November 10, 2025  -  November 13, 2025",conference,10.1145/3765766.3765856,https://doi.org/10.1145/3765766.3765856,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C023,Generative Agents for Realistic Mobile Computing and User Behaviour Case,"Akor, George Chidera; Ahakonye, Love Allen Chijioke; Lee, Jae-Min; Kim, Dong-Seong",2025,"4th International Conference on Mobile, Military, Maritime IT Convergence: Promoting Ultimate Convergence of Wireless, Military and Maritime Communications in the 6G Era, ICMIC 2025, August 27, 2025  -  August 30, 2025",conference,10.1109/ICMIC66299.2025.11257744,https://doi.org/10.1109/ICMIC66299.2025.11257744,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C024,"Enhancing Generative Agents in Social Simulations: Bridging Memory, Emotion, and Governance for Realistic Social Simulations","Wu, Chao; Li, Gang",2025,"11th Intelligent Systems Conference, IntelliSys 2025, August 28, 2025  -  August 29, 2025",conference,10.1007/978-3-031-99958-1_4,https://doi.org/10.1007/978-3-031-99958-1_4,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C025,ChatFive: Enhancing User Experience in Likert Scale Personality Test through Interactive Conversation with LLM Agents,"Lee, Jungjae; Choi, Yubin; Song, Minhyuk; Park, Sanghyun",2024,"6th Conference on ACM Conversational User Interfaces, CUI 2024, July 8, 2024  -  July 10, 2024",conference,10.1145/3640794.3665572,https://doi.org/10.1145/3640794.3665572,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C026,MockLLM: A Multi-Agent Behavior Collaboration Framework for Online Job Seeking and Recruiting,"Sun, Hongda; Lin, Hongzhan; Yan, Haiyu; Song, Yang; Gao, Xin; Yan, Rui",2025,"31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2025, August 3, 2025  -  August 7, 2025",conference,10.1145/3711896.3737051,https://doi.org/10.1145/3711896.3737051,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C027,LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System,"Wang, Tianfu; Zhan, Yi; Lian, Jianxun; Hu, Zhengyu; Yuan, Nicholas Jing; Zhang, Qi; Xie, Xing; Xiong, Hui",2025,"34th ACM Web Conference, WWW Companion 2025, April 28, 2025  -  May 2, 2025",conference,10.1145/3701716.3715244,https://doi.org/10.1145/3701716.3715244,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C028,Surveying with AI: Simulating Human Responses Using Personalized LLM Agents and Social Media Data,"Liang, Shuxi; Ren, Haolin; Zhang, Tianze; Liu, Xiaofan; Yin, Zhimeng; Hu, Daning",2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2025, October 5, 2025  -  October 8, 2025",conference,10.1109/SMC58881.2025.11343347,https://doi.org/10.1109/SMC58881.2025.11343347,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C029,MindScope: Exploring Cognitive Biases in Large Language Models Through Multi-Agent Systems,"Xie, Zhentao; Zhao, Jiabao; Wang, Yilei; Shi, Jinxin; Bai, Yanhong; Wu, Xingjiao; He, Liang",2024,"27th European Conference on Artificial Intelligence, ECAI 2024, October 19, 2024  -  October 24, 2024",conference,10.3233/FAIA240879,https://doi.org/10.3233/FAIA240879,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C030,EduMAS: A Novel LLM-Powered Multi-Agent Framework for Educational Support,"Li, Qiaomu; Xie, Ying; Chakravarty, Sumit; Lee, Dabae",2024,"2024 IEEE International Conference on Big Data, BigData 2024, December 15, 2024  -  December 18, 2024",conference,10.1109/BigData62323.2024.10826103,https://doi.org/10.1109/BigData62323.2024.10826103,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C031,Simulating Cooperative Prosocial Behavior with Multi-Agent LLMs: Evidence and Mechanisms for AI Agents to Inform Policy Decisions,"Sreedhar, Karthik; Cai, Alice; Ma, Jenny; Nickerson, Jeffrey V; Chilton, Lydia B.",2025,"30th International Conference on Intelligent User Interfaces, IUI 2025, March 24, 2025  -  March 27, 2025",conference,10.1145/3708359.3712149,https://doi.org/10.1145/3708359.3712149,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C032,Evaluation of an LLM-Powered Student Agent for Teacher Training,"Bhowmik, Saptarshi; West, Luke; Barrett, Alex; Zhang, Nuodi; Dai, Chih-Pu; Sokolikj, Zlatko; Southerland, Sherry; Yuan, Xin; Ke, Fengfeng",2024,"19th European Conference on Technology Enhanced Learning, EC-TEL 2024, September 16, 2024  -  September 20, 2024",conference,10.1007/978-3-031-72312-4_7,https://doi.org/10.1007/978-3-031-72312-4_7,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C033,Modeling Cross-Disciplinary Communication in Smart Education via Generative Agent,"Yang, Wen-Xi; Zhao, Tian-Fang",2025,"12th International Conference on Machine Intelligence Theory and Applications, MiTA 2025, May 20, 2025  -  May 23, 2025",conference,10.1109/MiTA66017.2025.11100261,https://doi.org/10.1109/MiTA66017.2025.11100261,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C034,An LLM-Enhanced Multi-agent Architecture for Conversation-Based Assessment,"Hou, Xinying; Forsyth, Carol; Andrews-Todd, Jessica; Rice, James; Cai, Zhiqiang; Jiang, Yang; Zapata-Rivera, Diego; Graesser, Art",2025,"26th International Conference on Artificial Intelligence in Education, AIED 2025, July 22, 2025  -  July 26, 2025",conference,10.1007/978-3-031-98417-4_9,https://doi.org/10.1007/978-3-031-98417-4_9,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C035,Exploring LLM Agents as Interactive Mind Map Creators Tailored for Students with ADHD,"Tang, Kaiyuan; Chen, Kerui; Jiang, Zhou; Quinlan, Mark; Cho, Youngjun",2025,"38th Annual ACM Symposium on User Interface Software and Technology, UIST 2025, September 28, 2025  -  October 1, 2025",conference,10.1145/3746058.3759012,https://doi.org/10.1145/3746058.3759012,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C036,GenSim: A General Social Simulation Platform with Large Language Model based Agents,"Tang, Jiakai; Gao, Heyang; Pan, Xuchen; Wang, Lei; Tan, Haoran; Gao, Dawei; Chen, Yushuo; Chen, Xu; Lin, Yankai; Li, Yaliang; Ding, Bolin; Zhou, Jingren; Wang, Jun; Wen, Ji-Rong",2025,"2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL-HLT 2025, April 29, 2025  -  May 4, 2025",conference,10.18653/v1/2025.naacl-demo.15,https://doi.org/10.18653/v1/2025.naacl-demo.15,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C037,Simulating Social Network with LLM Agents: An Analysis of Information Propagation and Echo Chambers,"Zheng, Wenzhen; Tang, Xijin",2025,"23rd International Symposium on Knowledge and Systems Sciences, KSS 2024, November 16, 2024  -  November 17, 2024",conference,10.1007/978-981-96-0178-3_5,https://doi.org/10.1007/978-981-96-0178-3_5,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C038,Integrating Local LLMs and Multi-Agent Intelligence for Personalized Eldercare,"Sruthi Sai Prabha, K.S.; Sandhiya, S.; Sajithra, S.",2025,"11th International Conference on Smart Computing and Communications, ICSCC 2025, July 3, 2025  -  July 5, 2025",conference,10.1109/ICSCC66177.2025.11233724,https://doi.org/10.1109/ICSCC66177.2025.11233724,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C039,Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorder Diagnosis,"Ozgun, Mithat Can; J., Pei; K., Hindriks; L., Donatelli; Q., Liu; J., Wang",2025,"34th ACM International Conference on Information and Knowledge Management, CIKM 2025, November 10, 2025  -  November 14, 2025",conference,10.1145/3746252.3761164,https://doi.org/10.1145/3746252.3761164,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C040,Simulating Strategic Reasoning: Comparing the Ability of Single LLMs and Multi-Agent Systems to Replicate Human Behavior,"Sreedhar, Karthik; Chilton, Lydia",2025,"58th Hawaii International Conference on System Sciences, HICSS 2025, January 7, 2025  -  January 10, 2025",conference,10.24251/hicss.2025.100,https://doi.org/10.24251/hicss.2025.100,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C041,Evaluating the Predictability of Disaster Evacuation Behavior using LLM Agent Simulations,"Lee, Donghak; Weng, Jiayi; Raipat, Vaidehi; Yabe, Takahiro",2025,"1st ACM SIGSPATIAL International Workshop on Urban Mobility Foundation Models, UMFM 2025, November 3, 2025  -  November 6, 2025",conference,10.1145/3764925.3770907,https://doi.org/10.1145/3764925.3770907,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C042,Evaluating Theory of Mind and Internal Beliefs in LLM-Based Multi-agent Systems,"Kostka, Adam; Chudziak, Jaroslaw A.",2026,"17th International Conference on Computational Collective Intelligence, ICCCI 2025, November 12, 2025  -  November 15, 2025",conference,10.1007/978-3-032-09318-9_2,https://doi.org/10.1007/978-3-032-09318-9_2,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C043,ExpertEase: A Multi-Agent Framework for Grade-Specific Document Simplification with Large Language Models,"Mo, Kaijie; Hu, Renfen",2024,"2024 Findings of the Association for Computational Linguistics, EMNLP 2024, November 12, 2024  -  November 16, 2024",conference,10.18653/v1/2024.findings-emnlp.530,https://doi.org/10.18653/v1/2024.findings-emnlp.530,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C044,EvaAI: A Multi-agent Framework Leveraging Large Language Models for Enhanced Automated Grading,"Lagakis, Paraskevas; Demetriadis, Stavros",2024,"20th International Conference on Generative Intelligence and Intelligent Tutoring Systems, ITS 2024, June 10, 2024  -  June 13, 2024",conference,10.1007/978-3-031-63028-6_32,https://doi.org/10.1007/978-3-031-63028-6_32,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C045,Simulating Oxford-Style Debates with LLM-Based Multi-Agent Systems,"Harbar, Yarolsav; Chudziak, Jaroslaw A.",2025,"17th Asian Conference on Intelligent Information and Database Systems, ACIIDS 2025, April 23, 2025  -  April 25, 2025",conference,10.1007/978-981-96-6008-7_21,https://doi.org/10.1007/978-981-96-6008-7_21,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C046,Generating AI Literacy MCQs: A Multi-Agent LLM Approach,"Wang, Jiayi; Xiao, Ruiwei; Tseng, Ying-Jui",2025,"56th Annual SIGCSE Technical Symposium on Computer Science Education, SIGCSE TS 2025, February 26, 2025  -  March 1, 2025",conference,10.1145/3641555.3705189,https://doi.org/10.1145/3641555.3705189,501-2805.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C047,Deciphering Digital Detectives: Understanding LLM Behaviors and Capabilities in Multi-Agent Mystery Games,"Wu, Dekun; Shi, Haochen; Sun, Zhiyuan; Liu, Bang",2024,"Findings of the 62nd Annual Meeting of the Association for Computational Linguistics, ACL 2024, August 11, 2024  -  August 16, 2024",conference,10.18653/v1/2024.findings-acl.490,https://doi.org/10.18653/v1/2024.findings-acl.490,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
C048,Can Large Language Model Agents Simulate Human Trust Behavior?,"Xie, Chengxing; Chen, Canyu; Jia, Feiran; Ye, Ziyu; Lai, Shiyang; Shu, Kai; Gu, Jindong; Bibi, Adel; Hu, Ziniu; Jurgens, David; Evans, James; Torr, Philip H.S.; Ghanem, Bernard; Li, Guohao",2024,"38th Conference on Neural Information Processing Systems, NeurIPS 2024, December 9, 2024  -  December 15, 2024",conference,,,1-500.ris,Selected from supplied candidate pool: explicit LLM/agent design and domain relevance,Rebuttal-stage reconstructed member,Exact/high-confidence match to supplied RIS export (score=100.0)
